Keylogger started at 2025-04-16 11:33:03
[2025-04-16 11:33:09] Key.cmd
[2025-04-16 11:33:10] d
[2025-04-16 11:33:15] Key.shift
[2025-04-16 11:33:15] R
[2025-04-16 11:33:15] a
[2025-04-16 11:33:15] v
[2025-04-16 11:33:15] i
[2025-04-16 11:33:15] n
[2025-04-16 11:33:15] d
[2025-04-16 11:33:16] r
[2025-04-16 11:33:16] a
[2025-04-16 11:33:16] Key.space
[2025-04-16 11:33:16] Key.shift
[2025-04-16 11:33:17] A
[2025-04-16 11:33:18] H
[2025-04-16 11:33:18] i
[2025-04-16 11:33:18] r
[2025-04-16 11:33:18] e
[2025-04-16 11:33:19] Key.backspace
[2025-04-16 11:33:19] Key.backspace
[2025-04-16 11:33:19] Key.backspace
[2025-04-16 11:33:19] Key.backspace
[2025-04-16 11:33:20] h
[2025-04-16 11:33:20] i
[2025-04-16 11:33:20] r
[2025-04-16 11:33:20] e
[2025-04-16 11:33:21] Key.space
[2025-04-16 11:33:21] t
[2025-04-16 11:33:21] r
[2025-04-16 11:33:22] y
[2025-04-16 11:33:22] i
[2025-04-16 11:33:23] i
[2025-04-16 11:33:23] n
[2025-04-16 11:33:23] g
[2025-04-16 11:33:23] Key.space
[2025-04-16 11:33:24] t
[2025-04-16 11:33:24] o
[2025-04-16 11:33:24] Key.space
[2025-04-16 11:33:25] c
[2025-04-16 11:33:26] Key.backspace
[2025-04-16 11:33:26] Key.backspace
[2025-04-16 11:33:27] Key.backspace
[2025-04-16 11:33:27] Key.backspace
[2025-04-16 11:33:27] Key.backspace
[2025-04-16 11:33:27] Key.backspace
[2025-04-16 11:33:27] Key.backspace
[2025-04-16 11:33:27] Key.backspace
[2025-04-16 11:33:28] i
[2025-04-16 11:33:28] n
[2025-04-16 11:33:29] g
[2025-04-16 11:33:29] Key.space
[2025-04-16 11:33:31] Key.backspace
[2025-04-16 11:33:31] Key.backspace
[2025-04-16 11:33:31] Key.backspace
[2025-04-16 11:33:31] Key.backspace
[2025-04-16 11:33:32] n
[2025-04-16 11:33:32] g
[2025-04-16 11:33:32] Key.space
[2025-04-16 11:33:33] c
[2025-04-16 11:33:33] a
[2025-04-16 11:33:33] t
[2025-04-16 11:33:33] c
[2025-04-16 11:33:34] h
[2025-04-16 11:33:35] Key.space
[2025-04-16 11:33:35] a
[2025-04-16 11:33:35] n
[2025-04-16 11:33:35] d
[2025-04-16 11:33:35] Key.space
[2025-04-16 11:33:35] l
[2025-04-16 11:33:36] o
[2025-04-16 11:33:36] g
[2025-04-16 11:33:36] Key.space
[2025-04-16 11:33:36] t
[2025-04-16 11:33:37] h
[2025-04-16 11:33:37] e
[2025-04-16 11:33:37] Key.space
[2025-04-16 11:33:37] i
[2025-04-16 11:33:37] n
[2025-04-16 11:33:37] s
[2025-04-16 11:33:37] t
[2025-04-16 11:33:38] Key.backspace
[2025-04-16 11:33:38] Key.backspace
[2025-04-16 11:33:39] p
[2025-04-16 11:33:39] u
[2025-04-16 11:33:39] t
[2025-04-16 11:33:42] Key.space
[2025-04-16 11:33:43] k
[2025-04-16 11:33:43] e
[2025-04-16 11:33:43] y
[2025-04-16 11:33:44] s
[2025-04-16 11:33:44] Key.space
[2025-04-16 11:33:44] i
[2025-04-16 11:33:45] n
[2025-04-16 11:33:45] Key.space
[2025-04-16 11:33:45] s
[2025-04-16 11:33:45] y
[2025-04-16 11:33:45] s
[2025-04-16 11:33:45] t
[2025-04-16 11:33:46] e
[2025-04-16 11:33:46] m
[2025-04-16 11:33:50] d
[2025-04-16 11:33:50] f
[2025-04-16 11:33:50] a
[2025-04-16 11:33:50] d
[2025-04-16 11:33:56] Key.enter
[2025-04-16 11:33:57] Key.enter
[2025-04-16 11:33:58] t
[2025-04-16 11:33:58] h
[2025-04-16 11:33:58] i
[2025-04-16 11:33:58] s
[2025-04-16 11:33:58] Key.space
[2025-04-16 11:33:58] i
[2025-04-16 11:33:59] s
[2025-04-16 11:33:59] Key.space
[2025-04-16 11:33:59] j
[2025-04-16 11:33:59] u
[2025-04-16 11:34:00] s
[2025-04-16 11:34:00] t
[2025-04-16 11:34:00] Key.space
[2025-04-16 11:34:00] s
[2025-04-16 11:34:01] a
[2025-04-16 11:34:01] m
[2025-04-16 11:34:01] o
[2025-04-16 11:34:01] l
[2025-04-16 11:34:01] e
[2025-04-16 11:34:01] Key.space
[2025-04-16 11:34:02] Key.backspace
[2025-04-16 11:34:02] Key.backspace
[2025-04-16 11:34:02] Key.backspace
[2025-04-16 11:34:03] Key.backspace
[2025-04-16 11:34:03] p
[2025-04-16 11:34:03] l
[2025-04-16 11:34:04] e
